params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 500, 'depth': 10}",0.5610026249328509,0.0039500847978480875,1,0.5633673936251334,0.5654354765161879,0.5598491988689915,0.5539665813638417,0.5623944742900998
"{'learning_rate': 0.05, 'l2_leaf_reg': 7, 'iterations': 800, 'depth': 10}",0.5516826795611492,0.004303351977892337,2,0.553588850174216,0.5556490047659097,0.5450958286358512,0.5481936113823407,0.5558861028474288
"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 1000, 'depth': 8}",0.5361326475859699,0.0026162523620463034,3,0.5361311475409836,0.538552787663108,0.5350080171031534,0.531861779004073,0.5391095066185319
"{'learning_rate': 0.05, 'l2_leaf_reg': 9, 'iterations': 500, 'depth': 10}",0.5342803316487726,0.004858884623544881,4,0.5391759319816873,0.5376707872478855,0.5284316318434277,0.5282969885773624,0.5378263185935003
"{'learning_rate': 0.03, 'l2_leaf_reg': 9, 'iterations': 800, 'depth': 10}",0.5332708087905758,0.004716586270429958,5,0.5375113769340788,0.5357607282184655,0.527602523659306,0.5275264926337555,0.5379529225072732
"{'learning_rate': 0.1, 'l2_leaf_reg': 7, 'iterations': 1000, 'depth': 6}",0.5220637833755396,0.0032890804624747727,6,0.5185909980430529,0.5267376330619913,0.5199543899657925,0.51975,0.5252858958068615
"{'learning_rate': 0.05, 'l2_leaf_reg': 5, 'iterations': 300, 'depth': 8}",0.5037676855332178,0.00374606073009572,7,0.5005856172405716,0.5050242345430902,0.5044226631604112,0.4990539262062441,0.5097519865157717
"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 300, 'depth': 6}",0.5034698749180153,0.004228440964263841,8,0.5012811553692057,0.5070322656896348,0.5022079007041413,0.49748449748449747,0.509343555342597
"{'learning_rate': 0.03, 'l2_leaf_reg': 9, 'iterations': 800, 'depth': 6}",0.500068309678921,0.002528518526411001,9,0.4968270451136495,0.5005818012566907,0.5021870197422863,0.4974985456660849,0.5032471366158933
"{'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 500, 'depth': 4}",0.49743260567597786,0.003225289033208693,10,0.49717383781289654,0.5004636068613816,0.4971314834328533,0.4917465081380584,0.5006475921346991
"{'learning_rate': 0.05, 'l2_leaf_reg': 1, 'iterations': 300, 'depth': 6}",0.49430441918023627,0.003560750480174147,11,0.489628447686346,0.49642939414881365,0.4962721342031687,0.4905357347711369,0.49865638509171634
"{'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 500, 'depth': 6}",0.49341638572769186,0.003430278948959975,12,0.4911600319379491,0.4933012710408794,0.49484057971014495,0.48882777586799586,0.4989522700814901
"{'learning_rate': 0.03, 'l2_leaf_reg': 1, 'iterations': 800, 'depth': 4}",0.4906906376557932,0.0030741519649091207,13,0.4908966772872098,0.49231819733697507,0.4918484500574053,0.48479346345891966,0.49359640013845624
"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 800, 'depth': 6}",0.4848710477518387,0.0027302662494838622,14,0.48310584023271425,0.4837771313492951,0.4853291038858049,0.4822072072072072,0.489935956084172
"{'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 1000, 'depth': 4}",0.4789196408985936,0.0024170458380502915,15,0.47806286793291125,0.47813604240282687,0.48020634742626445,0.4754809296119204,0.48271201711904493
"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 1000, 'depth': 4}",0.478365991351545,0.00221558663436115,16,0.47737355811889975,0.4777238641376268,0.47913169967550634,0.4754700189120036,0.48213081591368845
"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 300, 'depth': 8}",0.4732619496930085,0.002691710113304029,17,0.4712971078001753,0.4707551287647316,0.474463113386002,0.4717914879577697,0.47800291055636407
"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 300, 'depth': 6}",0.4659776532737897,0.0024949331287155633,18,0.4640346133044889,0.46405510116229015,0.4674497749478538,0.46412313028398006,0.47022564667033573
"{'learning_rate': 0.01, 'l2_leaf_reg': 1, 'iterations': 500, 'depth': 4}",0.4659497124764509,0.001931308339180371,19,0.46438623078588437,0.4635248547449968,0.466403162055336,0.4663257534544663,0.46910856134157103
"{'learning_rate': 0.01, 'l2_leaf_reg': 3, 'iterations': 500, 'depth': 4}",0.4658525487290911,0.0017860085850988662,20,0.46433596709600605,0.4635562244678564,0.46632238215580707,0.4663911246465086,0.4686570452792773
